district_name,state_name,gini_district
Kupwara,Jammu & Kashmir,.17262366
Badgam,Jammu & Kashmir,.16420601
Punch,Jammu & Kashmir,.21865724
Rajouri,Jammu & Kashmir,.19327897
Kathua,Jammu & Kashmir,.19845584
Baramula,Jammu & Kashmir,.20769764
Bandipore,Jammu & Kashmir,.26181665
Ganderbal,Jammu & Kashmir,.19692208
Pulwama,Jammu & Kashmir,.25200614
Anantnag,Jammu & Kashmir,.23405088
Kulgam,Jammu & Kashmir,.18480666
Ramban,Jammu & Kashmir,.1880005
Kishtwar,Jammu & Kashmir,.16593333
Udhampur,Jammu & Kashmir,.22966367
Reasi,Jammu & Kashmir,.21789303
Jammu,Jammu & Kashmir,.23522666
Samba,Jammu & Kashmir,.18208663
Chamba,Himachal Prades,.19509654
Kangra,Himachal Prades,.30110899
Lahul & Spiti,Himachal Prades,.27499625
Kullu,Himachal Prades,.2425258
Mandi,Himachal Prades,.23779653
Hamirpur,Himachal Prades,.26601377
Una,Himachal Prades,.25283152
Bilaspur,Himachal Prades,.2460129
Solan,Himachal Prades,.28720865
Sirmaur,Himachal Prades,.32273003
Shimla,Himachal Prades,.27342713
Kinnaur,Himachal Prades,.30288497
Gurdaspur,Punjab,.22984892
Kapurthala,Punjab,.3121956
Jalandhar,Punjab,.26436105
Hoshiarpur,Punjab,.21032479
Shahid Bhagat Singh Nagar,Punjab,.18657982
Fatehgarh Sahib,Punjab,.29181227
Ludhiana,Punjab,.228534
Moga,Punjab,.17796239
Firozpur,Punjab,.14728653
Muktsar,Punjab,.2772674
Faridkot,Punjab,.22863646
Bhatinda,Punjab,.20359147
Mansa,Punjab,.19443731
Patiala,Punjab,.24786767
Amritsar,Punjab,.28435239
Tarn Taran,Punjab,.22545396
Rupnagar,Punjab,.20092686
Sahibzada Ajit Singh Nagar,Punjab,.25221613
Sangrur,Punjab,.20895259
Barnala,Punjab,.159366
Pathankot,Punjab,.18274347
Fazilka,Punjab,.18414862
Chandigarh,Chandigarh,.26579061
Uttarkashi,Uttarakhand,.23080868
Chamoli,Uttarakhand,.27122167
Rudraprayag,Uttarakhand,.27001533
Tehri Garhwal,Uttarakhand,.19821477
Dehradun,Uttarakhand,.20588842
Garhwal,Uttarakhand,.3390446
Pithoragarh,Uttarakhand,.26111063
Almora,Uttarakhand,.21932593
Champawat,Uttarakhand,.3112196
Nainital,Uttarakhand,.21366408
Udham Singh Nagar,Uttarakhand,.25572473
Hardwar,Uttarakhand,.21962462
Panchkula,Haryana,.17202264
Ambala,Haryana,.27044773
Yamunanagar,Haryana,.21103269
Kurukshetra,Haryana,.25594154
Kaithal,Haryana,.21240032
Karnal,Haryana,.22191517
Panipat,Haryana,.18370478
Sonipat,Haryana,.16787346
Jind,Haryana,.20929889
Fatehabad,Haryana,.26322073
Sirsa,Haryana,.21520042
Hisar,Haryana,.20923474
Bhiwani,Haryana,.20804422
Rohtak,Haryana,.25072718
Jhajjar,Haryana,.28859153
Mahendragarh,Haryana,.27340564
Rewari,Haryana,.24539904
Gurgaon,Haryana,.15435609
Mewat,Haryana,.15864077
Faridabad,Haryana,.24584715
Palwal,Haryana,.19625367
North West,Delhi,.20997389
North,Delhi,.15684851
North East,Delhi,.12205424
South West,Delhi,.25105867
Sri Ganganagar,Rajasthan,.2069705
Hanumangarh,Rajasthan,.21203195
Churu,Rajasthan,.22486217
Jhunjhunun,Rajasthan,.20303255
Alwar,Rajasthan,.23749942
Bharatpur,Rajasthan,.2383858
Dhaulpur,Rajasthan,.2340111
Karauli,Rajasthan,.17665961
Sawai Madhopur,Rajasthan,.21550041
Dausa,Rajasthan,.22170557
Jaipur,Rajasthan,.37513933
Sikar,Rajasthan,.22219795
Nagaur,Rajasthan,.23958875
Ajmer,Rajasthan,.19676241
Tonk,Rajasthan,.19504982
Bundi,Rajasthan,.18508178
Bhilwara,Rajasthan,.17127934
Rajsamand,Rajasthan,.25606832
Dungarpur,Rajasthan,.33384654
Banswara,Rajasthan,.25623319
Chittaurgarh,Rajasthan,.22843648
Kota,Rajasthan,.1766955
Baran,Rajasthan,.21384624
Jhalawar,Rajasthan,.25090405
Udaipur,Rajasthan,.27034014
Pratapgarh,Rajasthan,.3080312
Saharanpur,Uttar Pradesh,.34122047
Muzaffarnagar,Uttar Pradesh,.24794023
Bijnor,Uttar Pradesh,.27056375
Moradabad,Uttar Pradesh,.2115532
Rampur,Uttar Pradesh,.29281631
Jyotiba Phule Nagar,Uttar Pradesh,.24276143
Meerut,Uttar Pradesh,.22197752
Baghpat,Uttar Pradesh,.29749003
Ghaziabad,Uttar Pradesh,.18123478
Gautam Buddha Nagar,Uttar Pradesh,.205608
Bulandshahr,Uttar Pradesh,.17632303
Aligarh,Uttar Pradesh,.19228123
Mahamaya Nagar,Uttar Pradesh,.18667561
Mathura,Uttar Pradesh,.26017356
Agra,Uttar Pradesh,.22717011
Firozabad,Uttar Pradesh,.21002841
Mainpuri,Uttar Pradesh,.25174582
Budaun,Uttar Pradesh,.25397694
Bareilly,Uttar Pradesh,.27479491
Pilibhit,Uttar Pradesh,.17775849
Shahjahanpur,Uttar Pradesh,.28064683
Kheri,Uttar Pradesh,.2418451
Sitapur,Uttar Pradesh,.21660011
Hardoi,Uttar Pradesh,.2210018
Unnao,Uttar Pradesh,.24013603
Lucknow,Uttar Pradesh,.24090567
Rae Bareli,Uttar Pradesh,.2103062
Farrukhabad,Uttar Pradesh,.21394844
Kannauj,Uttar Pradesh,.274656
Etawah,Uttar Pradesh,.21259467
Auraiya,Uttar Pradesh,.20602813
Kanpur Dehat,Uttar Pradesh,.22350886
Kanpur Nagar,Uttar Pradesh,.22019981
Jalaun,Uttar Pradesh,.25009367
Jhansi,Uttar Pradesh,.19381191
Lalitpur,Uttar Pradesh,.17817655
Hamirpur,Uttar Pradesh,.16301493
Mahoba,Uttar Pradesh,.12818252
Banda,Uttar Pradesh,.20924015
Chitrakoot,Uttar Pradesh,.23185523
Fatehpur,Uttar Pradesh,.20042844
Pratapgarh,Uttar Pradesh,.24565867
Kaushambi,Uttar Pradesh,.25729242
Allahabad,Uttar Pradesh,.28457481
Bara Banki,Uttar Pradesh,.26925933
Faizabad,Uttar Pradesh,.22664051
Ambedkar Nagar,Uttar Pradesh,.25794509
Sultanpur,Uttar Pradesh,.27053112
Bahraich,Uttar Pradesh,.22858258
Shrawasti,Uttar Pradesh,.26358649
Balrampur,Uttar Pradesh,.19470835
Gonda,Uttar Pradesh,.23148538
Siddharthnagar,Uttar Pradesh,.23026325
Basti,Uttar Pradesh,.2635133
Sant Kabir Nagar,Uttar Pradesh,.18767548
Maharajganj,Uttar Pradesh,.1964283
Gorakhpur,Uttar Pradesh,.16712248
Kushinagar,Uttar Pradesh,.18201831
Deoria,Uttar Pradesh,.19682015
Azamgarh,Uttar Pradesh,.22638366
Mau,Uttar Pradesh,.18606474
Ballia,Uttar Pradesh,.24528307
Jaunpur,Uttar Pradesh,.19548936
Ghazipur,Uttar Pradesh,.20195875
Chandauli,Uttar Pradesh,.23166676
Varanasi,Uttar Pradesh,.24174784
Sant Ravidas Nagar(Bhadohi),Uttar Pradesh,.22045943
Mirzapur,Uttar Pradesh,.21616168
Sonbhadra,Uttar Pradesh,.20099366
Etah,Uttar Pradesh,.16122936
Kanshiram Nagar,Uttar Pradesh,.14705144
Pashchim Champaran,Bihar,.19436468
Purba Champaran,Bihar,.2155257
Sheohar,Bihar,.19593275
Sitamarhi,Bihar,.23140898
Madhubani,Bihar,.16289237
Supaul,Bihar,.20446795
Araria,Bihar,.20396464
Kishanganj,Bihar,.18872711
Purnia,Bihar,.19842485
Katihar,Bihar,.21828677
Madhepura,Bihar,.2209657
Saharsa,Bihar,.19869553
Darbhanga,Bihar,.17281173
Muzaffarpur,Bihar,.23853661
Gopalganj,Bihar,.2084748
Siwan,Bihar,.16877109
Saran,Bihar,.21692182
Vaishali,Bihar,.16927364
Samastipur,Bihar,.19096152
Begusarai,Bihar,.19962633
Khagaria,Bihar,.21344675
Bhagalpur,Bihar,.2192812
Banka,Bihar,.20199548
Munger,Bihar,.23809913
Lakhisarai,Bihar,.19874282
Sheikhpura,Bihar,.18338954
Nalanda,Bihar,.22887528
Patna,Bihar,.23817348
Bhojpur,Bihar,.22153883
Buxar,Bihar,.2224426
